unit_id,product_type,price,gender,time_slot,price_tier,followers_10k,active_followers_10k,stream_hours,viewers,sales_index,conversion_rate,conversion_pct,fan_activity,sales_per_viewer,mean_f0,range_f0,sd_f0,hnr,jitter,shimmer,speech_rate,voice_index
1,apparel,74.3,1,morning,mid,8.4,2.1,8.6,184,1300,0.1435,14.3,0.2495,7.07,173.14,517.9,93.96,9.34,2.1378,11.9612,4.877,0.2307
2,daily_goods,3.8,0,evening,low,86.9,24.8,8.21,168,1300,0.1622,16.2,0.2853,7.74,296.28,395.58,61.3,8.89,2.5406,11.6729,5.023,0.1338
3,food,34.7,1,morning,mid,16.7,3.9,2.69,1130,1300,0.1709,17.1,0.2339,1.15,203.44,472.99,84.64,12.24,2.0026,14.6665,3.291,0.2401
4,food,14.5,0,evening,low,63.2,20.9,17.16,1621,1300,0.155,15.5,0.3305,0.8,256.75,303.41,42.33,8.74,2.0849,14.5206,4.613,0.0663
5,food,9.6,1,late_night,low,11.1,3.2,8.64,302,1300,0.1783,17.8,0.2888,4.3,165.68,487.36,64.61,7.4,2.4556,15.5225,4.694,-0.1506
6,daily_goods,13.9,1,evening,low,78.9,19.0,1.01,1033,1300,0.1698,17.0,0.2407,1.26,312.81,532.5,86.47,7.88,2.8117,14.1182,4.492,-0.1446
7,apparel,25.3,0,evening,low,21.2,3.9,7.05,2335,1300,0.1581,15.8,0.1841,0.56,230.51,447.03,55.72,12.51,1.9364,11.4675,5.238,0.5544
8,daily_goods,100.2,1,evening,mid_high,12.8,2.3,6.33,2508,1300,0.125,12.5,0.179,0.52,253.08,562.0,87.76,10.59,1.5779,14.4748,5.573,0.3832
9,apparel,8.5,0,morning,low,104.5,11.4,18.36,10176,3085,0.1546,15.5,0.1091,0.3,358.94,397.74,75.22,8.2,2.6318,14.3659,5.645,-0.0108
10,apparel,37.9,0,morning,mid,63.7,1.2,5.17,6738,3207,0.2207,22.1,0.0188,0.48,316.85,487.83,60.86,8.59,1.9685,15.0263,3.095,-0.0505
11,food,21.5,0,morning,low,25.9,7.3,3.36,221,1300,0.1616,16.2,0.2815,5.88,222.06,467.06,63.21,5.13,3.3268,16.0087,3.812,-0.5903
12,daily_goods,25.5,0,evening,low,226.7,55.4,17.06,12399,3239,0.1724,17.2,0.2443,0.26,207.15,461.78,64.6,10.21,2.479,12.6223,6.001,0.2721
13,daily_goods,110.3,1,evening,mid_high,31.1,8.5,5.35,447,1300,0.1706,17.1,0.2733,2.91,221.07,460.63,73.13,4.62,3.004,14.3818,4.333,-0.4482
14,daily_goods,66.2,0,evening,mid,51.1,0.0,7.08,4757,1300,0.154,15.4,0.0,0.27,264.51,478.78,73.31,11.15,2.0434,9.4197,3.559,0.4018
15,daily_goods,159.4,0,late_night,high,65.5,4.1,6.44,1099,1300,0.1036,10.4,0.0626,1.18,232.53,539.53,98.92,9.53,2.142,13.1702,5.685,0.2488
16,daily_goods,30.9,1,morning,mid,25.8,4.1,8.92,535,1300,0.2501,25.0,0.1591,2.43,217.45,562.0,98.51,15.41,1.6306,10.0386,4.714,0.8585
17,food,17.0,0,evening,low,81.0,12.0,12.2,66,1300,0.1383,13.8,0.1481,19.7,314.29,469.82,79.63,6.34,2.5327,13.5116,6.081,-0.0567
18,apparel,28.6,1,morning,low,28.2,6.2,13.1,767,1300,0.1411,14.1,0.2197,1.69,232.06,536.86,87.21,8.93,2.3818,13.9063,4.992,0.0707
19,daily_goods,47.8,0,morning,mid,32.1,4.2,4.73,96,1300,0.1804,18.0,0.131,13.54,357.58,412.46,69.53,13.88,1.9126,10.9832,5.876,0.7268
20,food,44.4,1,evening,mid,206.6,12.3,7.06,4234,2114,0.2547,25.5,0.0595,0.5,242.72,532.81,77.49,12.3,1.6317,8.4259,5.118,0.7302
21,food,11.1,1,late_night,low,16.6,7.0,6.97,9655,2663,0.1672,16.7,0.4225,0.28,330.84,407.52,72.92,7.39,2.2998,13.4541,5.887,0.0593
22,food,40.4,1,evening,mid,3.9,1.0,9.28,300,1300,0.0926,9.3,0.255,4.33,256.58,559.43,79.5,9.78,1.7624,14.0866,6.579,0.3729
23,apparel,47.0,0,morning,mid,268.1,20.6,10.87,1561,1300,0.2058,20.6,0.0768,0.83,288.07,562.0,97.44,9.21,1.8887,14.4121,5.828,0.235
24,daily_goods,583.6,0,evening,high,320.0,95.0,2.01,334,1300,0.1704,17.0,0.2969,3.89,200.32,459.99,84.27,9.93,1.5194,11.4956,3.464,0.3275
