variable,group_col,group,n,beta,p_value,significance
mean_f0,product_type,apparel,59,-0.03176561866675561,0.00027632474681471564,***
mean_f0,product_type,daily_goods,73,-0.018428999251214023,0.0787293102057891,*
mean_f0,product_type,food,75,-0.027371168452602745,0.0006947456043235878,***
hnr,product_type,apparel,59,-0.01658423183156181,0.1417703487746338,
hnr,product_type,daily_goods,73,-0.009881222136373788,0.29774467809055416,
hnr,product_type,food,75,-0.009542709593655383,0.23070429511081048,
jitter,product_type,apparel,59,-0.005229649011177307,0.631437080131384,
jitter,product_type,daily_goods,73,-0.027695498620249972,0.0033208193087275184,***
jitter,product_type,food,75,-0.005939980610778313,0.45895729074024794,
speech_rate,product_type,apparel,59,-0.029344311004924985,0.0013871080965914828,***
speech_rate,product_type,daily_goods,73,-0.029950078497154156,0.0024255172169707073,***
speech_rate,product_type,food,75,-0.015076188004803651,0.07080887803080027,*
mean_f0,gender,1,94,-0.013942299740404545,0.05169153510324076,*
mean_f0,gender,0,113,-0.03334224599169305,7.795395235765668e-06,***
hnr,gender,1,94,-0.00821080997384091,0.22649961398178675,
hnr,gender,0,113,-0.015165332176382449,0.06197329671777929,*
jitter,gender,1,94,-0.009465807849605136,0.1629849030373154,
jitter,gender,0,113,-0.018120974854609874,0.025121104142058037,**
speech_rate,gender,1,94,-0.025614221313411147,0.00019971155847131605,***
speech_rate,gender,0,113,-0.022038967018698792,0.0043429329412600914,***
