unit_id,product_type,efficiency,mean_f0_current,mean_f0_reference,mean_f0_advice,hnr_current,hnr_reference,hnr_advice,jitter_current,jitter_reference,jitter_advice,speech_rate_current,speech_rate_reference,speech_rate_advice,n_issues,recommendation
9,apparel,0.7874,358.94,218.93,decrease (escape valley),8.2,8.64,ok,2.63,2.21,decrease (escape valley),5.64,4.6,decrease (escape valley),3,mean_f0: decrease (escape valley) (358.9 -> 218.9); jitter: decrease (escape valley) (2.6 -> 2.2); speech_rate: decrease (escape valley) (5.6 -> 4.6)
12,daily_goods,0.7733,207.15,218.93,ok,10.21,8.64,decrease (escape valley),2.48,2.21,decrease (escape valley),6.0,4.6,decrease (escape valley),3,hnr: decrease (escape valley) (10.2 -> 8.6); jitter: decrease (escape valley) (2.5 -> 2.2); speech_rate: decrease (escape valley) (6.0 -> 4.6)
15,daily_goods,0.7992,232.53,218.93,ok,9.53,8.64,decrease (escape valley),2.14,2.21,ok,5.68,4.6,decrease (escape valley),2,hnr: decrease (escape valley) (9.5 -> 8.6); speech_rate: decrease (escape valley) (5.7 -> 4.6)
26,food,0.7292,261.9,218.93,ok,8.97,8.64,ok,2.93,2.21,decrease (escape valley),5.79,4.6,decrease (escape valley),2,jitter: decrease (escape valley) (2.9 -> 2.2); speech_rate: decrease (escape valley) (5.8 -> 4.6)
39,apparel,0.7664,346.99,218.93,decrease (escape valley),12.39,8.64,decrease,2.17,2.21,ok,5.75,4.6,decrease (escape valley),3,mean_f0: decrease (escape valley) (347.0 -> 218.9); hnr: decrease (12.4 -> 8.6); speech_rate: decrease (escape valley) (5.7 -> 4.6)
53,food,0.7931,205.95,218.93,ok,15.37,8.64,decrease,1.61,2.21,increase,6.24,4.6,decrease (escape valley),3,hnr: decrease (15.4 -> 8.6); jitter: increase (1.6 -> 2.2); speech_rate: decrease (escape valley) (6.2 -> 4.6)
72,apparel,0.7728,244.88,218.93,ok,7.68,8.64,ok,2.87,2.21,decrease (escape valley),5.47,4.6,ok,1,jitter: decrease (escape valley) (2.9 -> 2.2)
98,daily_goods,0.7547,188.11,218.93,ok,10.52,8.64,decrease (escape valley),2.78,2.21,decrease (escape valley),4.87,4.6,ok,2,hnr: decrease (escape valley) (10.5 -> 8.6); jitter: decrease (escape valley) (2.8 -> 2.2)
142,apparel,0.7629,255.98,218.93,ok,12.08,8.64,decrease,2.2,2.21,ok,4.68,4.6,ok,1,hnr: decrease (12.1 -> 8.6)
160,daily_goods,0.7501,250.41,218.93,ok,9.44,8.64,ok,2.85,2.21,decrease (escape valley),5.72,4.6,decrease (escape valley),2,jitter: decrease (escape valley) (2.9 -> 2.2); speech_rate: decrease (escape valley) (5.7 -> 4.6)
161,daily_goods,0.7988,320.04,218.93,decrease (escape valley),4.21,8.64,increase,3.19,2.21,decrease,6.84,4.6,decrease,4,mean_f0: decrease (escape valley) (320.0 -> 218.9); hnr: increase (4.2 -> 8.6); jitter: decrease (3.2 -> 2.2); speech_rate: decrease (6.8 -> 4.6)
168,apparel,0.7642,308.62,218.93,decrease,9.91,8.64,decrease (escape valley),2.33,2.21,ok,5.33,4.6,ok,2,mean_f0: decrease (308.6 -> 218.9); hnr: decrease (escape valley) (9.9 -> 8.6)
179,daily_goods,0.7182,389.54,218.93,decrease,10.88,8.64,decrease (escape valley),2.49,2.21,decrease (escape valley),6.33,4.6,decrease (escape valley),4,mean_f0: decrease (389.5 -> 218.9); hnr: decrease (escape valley) (10.9 -> 8.6); jitter: decrease (escape valley) (2.5 -> 2.2); speech_rate: decrease (escape valley) (6.3 -> 4.6)
184,daily_goods,0.7629,240.42,218.93,ok,6.92,8.64,ok,2.84,2.21,decrease (escape valley),5.43,4.6,ok,1,jitter: decrease (escape valley) (2.8 -> 2.2)
186,food,0.7835,299.13,218.93,decrease,11.14,8.64,decrease (escape valley),2.34,2.21,ok,4.9,4.6,ok,2,mean_f0: decrease (299.1 -> 218.9); hnr: decrease (escape valley) (11.1 -> 8.6)
190,apparel,0.7889,320.7,218.93,decrease (escape valley),10.7,8.64,decrease (escape valley),2.28,2.21,ok,5.39,4.6,ok,2,mean_f0: decrease (escape valley) (320.7 -> 218.9); hnr: decrease (escape valley) (10.7 -> 8.6)
191,daily_goods,0.7465,257.5,218.93,ok,9.43,8.64,ok,2.9,2.21,decrease (escape valley),5.66,4.6,decrease (escape valley),2,jitter: decrease (escape valley) (2.9 -> 2.2); speech_rate: decrease (escape valley) (5.7 -> 4.6)
202,daily_goods,0.723,227.4,218.93,ok,9.29,8.64,ok,3.25,2.21,decrease,5.72,4.6,decrease (escape valley),2,jitter: decrease (3.3 -> 2.2); speech_rate: decrease (escape valley) (5.7 -> 4.6)
